Book ID,Title,Subtitle,Author,Publisher,Book Type ID,Note,ISBN,Compiler,Last Update Date,Add Date
719,너희 자녀를 위해 울라,오인숙의 기독교 교육 시리즈 1,오인숙,규장,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
720,공부가 가장 쉬웠어요,막노동꾼 출신 서울대 수석합격자 장승수 이야기,장승수,김영사,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
722,홍수이후 1,의혹의 강,김성일,홍성사,8,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
723,교사 바이블,주일학교 부흥을 열망하는 교사를 위한 응원가,김동호,규장,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
724,태국선교 길잡이,베테랑 태국 선교사가 쓴,정승희 선교사,대한예수교장로회총회,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
725,단기선교 길라잡이,지역교회 단기선교팀의 운영과 실제,조호중,요단,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
726,여성 그대의 사명은,NULL,폴 투르니에,IVP,5,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
727,오이코스와 함께 전도의 즐거움을 만끽하라,오이코스 전도시리즈,이상만,오이코스코리아,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
728,하늘에 속한 사람,"현대판 사도행전의 기적, 윈형제의 중국 전도행전",윈형제,홍성사,6,NULL,NULL,폴해터웨이,2010-04-05 00:00:00.000,2010-04-05 00:00:00.000
729,내가 본 천국,NULL,펄시콜레 박사,일신출판사,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
730,사랑은 스스로 선택하는 고통입니다.,6인 여류시인의 마음 갈피에서 찾아낸 글들,둥지기획실선,둥지,8,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
731,예배드리는 자녀가 성공한다,"우리아이, 하나님이 응원하고 사람에게 사랑받는 자녀로 키우는 법",김인환,두란노서원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
732,리더쉽의 용기,NULL,빌 하이벨스,두란노서원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
733,다니엘 학습법,서울대 수석졸업한 김동환 전도사의,김동환,규장,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
734,기도의 열정,기도의 혁명을 일으킨 책,존맥아더,베드로 서원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
735,황금빛 똥을 누는 아기,자연건강법으로 아이 낳고 키우기,최민희,다섯수레,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
736,위대한 선교사 열전,NULL,정석기,쿰란 출판사,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
737,평양 대부흥 이야기,한국 교회와 민족을 살린,박용규,생명의 말씀사,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
738,내 딸아 울지마라,평범한 여성에서 선교사가 되기까지,신숙자,비전북출판사,6,NULL,89-87613-25-9,NULL,2010-06-13 00:00:00.000,2010-06-13 00:00:00.000
739,돌아서라,"첫사랑, 첫영광을 기억하다",맥스루카도,생명의 말씀사,1,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
740,하나님을 감동시킨 사람들의 기도,NULL,이동원,나침반출판사,1,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
741,현실과 묵상사이에서,한 종신부제의 믿음의 세계,이현하,카톨릭신앙생활연구소,1,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
742,큐티하는 자는 복이 있나니,김양재의 큐티노트 - 마태복음 산상수훈,김양재,두란노서원,1,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
743,책한테 길을 물어,독서수상,김영진,현대문학,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
744,하프타임,지금 당신에겐 작전타임이 필요하다,밥 버포드,낮은 울타리,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
